Hotel Name,Price (SAR),Rating,Reviews,Address,City,Check-in,Check-out,Search Area,Season_Type,Religious_Context,Latitude,Longitude,Stay_Duration,Price_Category
فندق عفراء,121.0,3.9,3631.0,"Lat: 21.409017700000003, Lng: 39.8679576",Makkah,2026-03-20,2026-03-25,Hotels in Aziziyah Makkah,Ramadan Season,High spiritual tourism season during Ramadan,21.409017700000003,39.8679576,5,Budget
فندق اليقين,97.0,4.1,993.0,"Lat: 21.4160492, Lng: 39.8622464",Makkah,2026-03-20,2026-03-25,Hotels in Aziziyah Makkah,Ramadan Season,High spiritual tourism season during Ramadan,21.4160492,39.8622464,5,Budget
فندق ميدان,227.0,4.1,6457.0,"Lat: 21.4170786, Lng: 39.8546088",Makkah,2026-03-20,2026-03-25,Hotels in Aziziyah Makkah,Ramadan Season,High spiritual tourism season during Ramadan,21.4170786,39.8546088,5,Budget
جوري الهدا,150.0,4.5,151.0,"Lat: 21.4114026, Lng: 39.8589744",Makkah,2026-03-20,2026-03-25,Hotels in Aziziyah Makkah,Ramadan Season,High spiritual tourism season during Ramadan,21.4114026,39.8589744,5,Budget
فندق كنان العزيزية,96.0,4.0,610.0,"Lat: 21.4198187, Lng: 39.858604",Makkah,2026-03-20,2026-03-25,Hotels in Aziziyah Makkah,Ramadan Season,High spiritual tourism season during Ramadan,21.4198187,39.858604,5,Budget
فندق سيف بلص 2 من اورفانا,167.0,4.7,710.0,"Lat: 21.423092399999998, Lng: 39.850193499999996",Makkah,2026-03-20,2026-03-25,Hotels in Aziziyah Makkah,Ramadan Season,High spiritual tourism season during Ramadan,21.4230924,39.8501935,5,Budget
فندق مكارم منى,100.0,4.2,4131.0,"Lat: 21.419086999999998, Lng: 39.8608026",Makkah,2026-03-20,2026-03-25,Hotels in Aziziyah Makkah,Ramadan Season,High spiritual tourism season during Ramadan,21.419087,39.8608026,5,Budget
فندق البركة رويال,110.0,4.2,9.0,"Lat: 21.4124586, Lng: 39.8615685",Makkah,2026-03-20,2026-03-25,Hotels in Aziziyah Makkah,Ramadan Season,High spiritual tourism season during Ramadan,21.4124586,39.8615685,5,Budget
فندق قصر رزق,173.0,4.7,2352.0,"Lat: 21.404034799999998, Lng: 39.8172478",Makkah,2026-03-20,2026-03-25,Hotels in Al Misfalah Makkah,Ramadan Season,High spiritual tourism season during Ramadan,21.4040348,39.8172478,5,Budget
Makarem Um Al Qura Hotel,181.0,4.3,11123.0,"Lat: 21.4023114, Lng: 39.8307328",Makkah,2026-03-20,2026-03-25,Hotels in Al Misfalah Makkah,Ramadan Season,High spiritual tourism season during Ramadan,21.4023114,39.8307328,5,Budget
فندق موطن لمار,131.0,3.7,455.0,"Lat: 21.4038005, Lng: 39.816533199999995",Makkah,2026-03-20,2026-03-25,Hotels in Al Misfalah Makkah,Ramadan Season,High spiritual tourism season during Ramadan,21.4038005,39.8165332,5,Budget
"Miaad Al Majd, Mecca",200.0,4.3,453.0,"Lat: 21.4120352, Lng: 39.8245781",Makkah,2026-03-20,2026-03-25,Hotels in Al Misfalah Makkah,Ramadan Season,High spiritual tourism season during Ramadan,21.4120352,39.8245781,5,Budget
فندق بتول أجياد,355.0,3.9,3113.0,"Lat: 21.407318099999998, Lng: 39.829461099999996",Makkah,2026-03-20,2026-03-25,Hotels in Al Misfalah Makkah,Ramadan Season,High spiritual tourism season during Ramadan,21.4073181,39.8294611,5,Mid-Range
فندق الأبراج,193.0,4.1,48.0,"Lat: 21.4016508, Lng: 39.831535599999995",Makkah,2026-03-20,2026-03-25,Hotels in Al Misfalah Makkah,Ramadan Season,High spiritual tourism season during Ramadan,21.4016508,39.8315356,5,Budget
فندق سيف المجد,248.0,4.0,1974.0,"Lat: 21.4124269, Lng: 39.8246069",Makkah,2026-03-20,2026-03-25,Hotels in Al Misfalah Makkah,Ramadan Season,High spiritual tourism season during Ramadan,21.4124269,39.8246069,5,Budget
Diar AlKhalidiya Hotel فندق ديار الخالدية,257.0,4.5,244.0,"Lat: 21.403647, Lng: 39.8164112",Makkah,2026-03-20,2026-03-25,Hotels in Al Misfalah Makkah,Ramadan Season,High spiritual tourism season during Ramadan,21.403647,39.8164112,5,Budget
فندق قلعه أجياد,286.0,3.4,576.0,"Lat: 21.4099364, Lng: 39.8294115",Makkah,2026-03-20,2026-03-25,Hotels in Al Misfalah Makkah,Ramadan Season,High spiritual tourism season during Ramadan,21.4099364,39.8294115,5,Budget
فندق لمار اجياد الاول برج ب,217.0,3.8,3525.0,"Lat: 21.4010023, Lng: 39.8308562",Makkah,2026-03-20,2026-03-25,Hotels in Al Misfalah Makkah,Ramadan Season,High spiritual tourism season during Ramadan,21.4010023,39.8308562,5,Budget
فندق سجى مكة,483.0,4.2,571.0,"Lat: 21.403581300000003, Lng: 39.8261687",Makkah,2026-03-20,2026-03-25,Hotels in Al Misfalah Makkah,Ramadan Season,High spiritual tourism season during Ramadan,21.403581300000003,39.8261687,5,Mid-Range
Lamar Ajyad First Tower A Hotel فندق لمار اجياد الاول برج أ,245.0,3.9,920.0,"Lat: 21.4008955, Lng: 39.8307664",Makkah,2026-03-20,2026-03-25,Hotels in Al Misfalah Makkah,Ramadan Season,High spiritual tourism season during Ramadan,21.4008955,39.8307664,5,Budget
فندق سما المقام,578.0,4.1,393.0,"Lat: 21.4117085, Lng: 39.8219178",Makkah,2026-03-20,2026-03-25,Hotels in Al Misfalah Makkah,Ramadan Season,High spiritual tourism season during Ramadan,21.4117085,39.8219178,5,Mid-Range
Emaar Elite Hotel,371.0,4.2,1088.0,"Lat: 21.4093584, Lng: 39.8293463",Makkah,2026-03-20,2026-03-25,Hotels in Al Misfalah Makkah,Ramadan Season,High spiritual tourism season during Ramadan,21.4093584,39.8293463,5,Mid-Range
WEDAM AL MISFALAH HOTEL 6,371.0,4.1,83.0,"Lat: 21.4043936, Lng: 39.8177251",Makkah,2026-03-20,2026-03-25,Hotels in Al Misfalah Makkah,Ramadan Season,High spiritual tourism season during Ramadan,21.4043936,39.8177251,5,Mid-Range
لؤلؤة التوحيد,371.0,3.6,1726.0,"Lat: 21.4109415, Lng: 39.8194078",Makkah,2026-03-20,2026-03-25,Hotels in Al Misfalah Makkah,Ramadan Season,High spiritual tourism season during Ramadan,21.4109415,39.8194078,5,Mid-Range
كونراد جبل عمر مكة,1096.0,4.7,15399.0,"Lat: 21.4193856, Lng: 39.8223985",Makkah,2026-03-20,2026-03-25,Hotels in Al Shubaikah Makkah,Ramadan Season,High spiritual tourism season during Ramadan,21.4193856,39.8223985,5,Premium
فندق جبل عمر جميرا,871.0,4.6,6200.0,"Lat: 21.4186785, Lng: 39.8224139",Makkah,2026-03-20,2026-03-25,Hotels in Al Shubaikah Makkah,Ramadan Season,High spiritual tourism season during Ramadan,21.4186785,39.8224139,5,Premium
Rotana Jabal Omar Makkah,1000.0,4.8,137.0,"Lat: 21.420395199999998, Lng: 39.8214188",Makkah,2026-03-20,2026-03-25,Hotels in Al Shubaikah Makkah,Ramadan Season,High spiritual tourism season during Ramadan,21.4203952,39.8214188,5,Premium
سويس أوتيل المقام - البرج,902.0,4.8,56941.0,"Lat: 21.418343999999998, Lng: 39.824104",Makkah,2026-03-20,2026-03-25,Hotels in Al Shubaikah Makkah,Ramadan Season,High spiritual tourism season during Ramadan,21.418344,39.824104,5,Premium
مكة هيلتون للاجنحة,924.0,4.7,16607.0,"Lat: 21.421183499999998, Lng: 39.8216839",Makkah,2026-03-20,2026-03-25,Hotels in Al Shubaikah Makkah,Ramadan Season,High spiritual tourism season during Ramadan,21.4211835,39.8216839,5,Premium
فندق الماسة بدر,371.0,4.5,5047.0,"Lat: 21.4131952, Lng: 39.8215761",Makkah,2026-03-20,2026-03-25,Hotels in Al Shubaikah Makkah,Ramadan Season,High spiritual tourism season during Ramadan,21.4131952,39.8215761,5,Mid-Range
فندق بولمان زمزم مكة,371.0,4.6,60709.0,"Lat: 21.4196355, Lng: 39.8237376",Makkah,2026-03-20,2026-03-25,Hotels in Al Shubaikah Makkah,Ramadan Season,High spiritual tourism season during Ramadan,21.4196355,39.8237376,5,Mid-Range
رافلز قصر مكة,1866.0,4.7,6996.0,"Lat: 21.4192522, Lng: 39.8249017",Makkah,2026-03-20,2026-03-25,Hotels in Al Shubaikah Makkah,Ramadan Season,High spiritual tourism season during Ramadan,21.4192522,39.8249017,5,Luxury
فندق العليان الخليل مكة,371.0,3.8,1353.0,"Lat: 21.4128075, Lng: 39.8214968",Makkah,2026-03-20,2026-03-25,Hotels in Al Shubaikah Makkah,Ramadan Season,High spiritual tourism season during Ramadan,21.4128075,39.8214968,5,Mid-Range
فندق ميلينيوم مكة النسيم,336.0,4.3,13238.0,"Lat: 21.380888499999998, Lng: 39.8720317",Makkah,2026-03-20,2026-03-25,Hotels in Al Naseem Makkah,Ramadan Season,High spiritual tourism season during Ramadan,21.3808885,39.8720317,5,Mid-Range
بارك إن باي راديسون مكة النسيم,189.0,4.0,8196.0,"Lat: 21.381998199999998, Lng: 39.872478199999996",Makkah,2026-03-20,2026-03-25,Hotels in Al Naseem Makkah,Ramadan Season,High spiritual tourism season during Ramadan,21.3819982,39.8724782,5,Budget
فندق كوبثورن مكة النسيم,302.0,4.2,1507.0,"Lat: 21.3808384, Lng: 39.8727707",Makkah,2026-03-20,2026-03-25,Hotels in Al Naseem Makkah,Ramadan Season,High spiritual tourism season during Ramadan,21.3808384,39.8727707,5,Mid-Range
ابراج الهداية,97.0,4.0,3479.0,"Lat: 21.3895604, Lng: 39.8770743",Makkah,2026-03-20,2026-03-25,Hotels in Al Naseem Makkah,Ramadan Season,High spiritual tourism season during Ramadan,21.3895604,39.8770743,5,Budget
فندق ملتزم البيت Home committed hotel,176.0,4.3,67.0,"Lat: 21.3745375, Lng: 39.8747031",Makkah,2026-03-20,2026-03-25,Hotels in Al Naseem Makkah,Ramadan Season,High spiritual tourism season during Ramadan,21.3745375,39.8747031,5,Budget
فندق اورفانا النسيم,127.0,4.6,89.0,"Lat: 21.373180899999998, Lng: 39.8777209",Makkah,2026-03-20,2026-03-25,Hotels in Al Naseem Makkah,Ramadan Season,High spiritual tourism season during Ramadan,21.3731809,39.8777209,5,Budget
فندق ملتزم النسيم,165.0,4.0,241.0,"Lat: 21.369393799999997, Lng: 39.8749302",Makkah,2026-03-20,2026-03-25,Hotels in Al Naseem Makkah,Ramadan Season,High spiritual tourism season during Ramadan,21.3693938,39.8749302,5,Budget
An naseem haramain hostel,319.0,4.1,0.0,"Lat: 21.3702823, Lng: 39.8710895",Makkah,2026-03-20,2026-03-25,Hotels in Al Naseem Makkah,Ramadan Season,High spiritual tourism season during Ramadan,21.3702823,39.8710895,5,Mid-Range
فندق زاد القمة النسيم مكة,371.0,4.0,377.0,"Lat: 21.3889298, Lng: 39.872906199999996",Makkah,2026-03-20,2026-03-25,Hotels in Al Naseem Makkah,Ramadan Season,High spiritual tourism season during Ramadan,21.3889298,39.8729062,5,Mid-Range
فندق سواعد العالمية,212.0,3.8,242.0,"Lat: 21.3931065, Lng: 39.8701356",Makkah,2026-03-20,2026-03-25,Hotels in Al Naseem Makkah,Ramadan Season,High spiritual tourism season during Ramadan,21.3931065,39.8701356,5,Budget
فندق أبيات النسيم - Abyat Al- Naseem Hotel,371.0,3.6,226.0,"Lat: 21.37024, Lng: 39.882267",Makkah,2026-03-20,2026-03-25,Hotels in Al Naseem Makkah,Ramadan Season,High spiritual tourism season during Ramadan,21.37024,39.882267,5,Mid-Range
نزل وريف المقام للإيواء السياحي | Warive Al Maqam Hotel,371.0,3.7,199.0,"Lat: 21.3853558, Lng: 39.8774771",Makkah,2026-03-20,2026-03-25,Hotels in Al Naseem Makkah,Ramadan Season,High spiritual tourism season during Ramadan,21.3853558,39.8774771,5,Mid-Range
Al Eairy Furnished Apartments Makkah 8,371.0,3.4,45.0,"Lat: 21.370016, Lng: 39.88261",Makkah,2026-03-20,2026-03-25,Hotels in Al Naseem Makkah,Ramadan Season,High spiritual tourism season during Ramadan,21.370016,39.88261,5,Mid-Range
فندق مكان التميز,371.0,4.3,41.0,"Lat: 21.3908404, Lng: 39.873229699999996",Makkah,2026-03-20,2026-03-25,Hotels in Al Naseem Makkah,Ramadan Season,High spiritual tourism season during Ramadan,21.3908404,39.8732297,5,Mid-Range
فندق مساكن الجود,371.0,4.2,312.0,"Lat: 21.3689223, Lng: 39.877232299999996",Makkah,2026-03-20,2026-03-25,Hotels in Al Naseem Makkah,Ramadan Season,High spiritual tourism season during Ramadan,21.3689223,39.8772323,5,Mid-Range
فندق مزايا الضيافة,371.0,4.0,68.0,"Lat: 21.388880399999998, Lng: 39.8744898",Makkah,2026-03-20,2026-03-25,Hotels in Al Naseem Makkah,Ramadan Season,High spiritual tourism season during Ramadan,21.3888804,39.8744898,5,Mid-Range
فندق بودل اجياد مكة,347.0,4.3,351.0,"Lat: 21.400863599999997, Lng: 39.832756499999995",Makkah,2026-03-20,2026-03-25,Hotels in Kudai Makkah,Ramadan Season,High spiritual tourism season during Ramadan,21.4008636,39.8327565,5,Mid-Range
أبراج مريديان مكة,637.0,4.2,13214.0,"Lat: 21.4027954, Lng: 39.826543199999996",Makkah,2026-03-20,2026-03-25,Hotels in Kudai Makkah,Ramadan Season,High spiritual tourism season during Ramadan,21.4027954,39.8265432,5,Mid-Range
فندق سيف بلص 3 من اورفانا,118.0,4.7,558.0,"Lat: 21.4079131, Lng: 39.8342902",Makkah,2026-03-20,2026-03-25,Hotels in Kudai Makkah,Ramadan Season,High spiritual tourism season during Ramadan,21.4079131,39.8342902,5,Budget
فندق أسفار الحجاز 2,163.0,3.3,39.0,"Lat: 21.3849187, Lng: 39.834956299999995",Makkah,2026-03-20,2026-03-25,Hotels in Kudai Makkah,Ramadan Season,High spiritual tourism season during Ramadan,21.3849187,39.8349563,5,Budget
ماريوت كورت يارد,376.0,4.4,1206.0,"Lat: 21.4041529, Lng: 39.8304166",Makkah,2026-03-20,2026-03-25,Hotels in Kudai Makkah,Ramadan Season,High spiritual tourism season during Ramadan,21.4041529,39.8304166,5,Mid-Range
فندق البيرق,371.0,4.0,921.0,"Lat: 21.3866037, Lng: 39.8241008",Makkah,2026-03-20,2026-03-25,Hotels in Kudai Makkah,Ramadan Season,High spiritual tourism season during Ramadan,21.3866037,39.8241008,5,Mid-Range
فندق الجود,371.0,4.1,1070.0,"Lat: 21.3839604, Lng: 39.8264291",Makkah,2026-03-20,2026-03-25,Hotels in Kudai Makkah,Ramadan Season,High spiritual tourism season during Ramadan,21.3839604,39.8264291,5,Mid-Range
فندق الجاد كدي,371.0,4.3,198.0,"Lat: 21.3854851, Lng: 39.8310764",Makkah,2026-03-20,2026-03-25,Hotels in Kudai Makkah,Ramadan Season,High spiritual tourism season during Ramadan,21.3854851,39.8310764,5,Mid-Range
فندق رحاب المروة,371.0,3.9,528.0,"Lat: 21.4039678, Lng: 39.8305991",Makkah,2026-03-20,2026-03-25,Hotels in Kudai Makkah,Ramadan Season,High spiritual tourism season during Ramadan,21.4039678,39.8305991,5,Mid-Range
فندق أبراج القصواء,371.0,3.9,1384.0,"Lat: 21.4065074, Lng: 39.8300895",Makkah,2026-03-20,2026-03-25,Hotels in Kudai Makkah,Ramadan Season,High spiritual tourism season during Ramadan,21.4065074,39.8300895,5,Mid-Range
فندق الرحابة المكية ٣,194.0,3.8,38.0,"Lat: 21.3839066, Lng: 39.830763999999995",Makkah,2026-03-20,2026-03-25,Hotels in Kudai Makkah,Ramadan Season,High spiritual tourism season during Ramadan,21.3839066,39.830764,5,Budget
Al Olayan Palace Hotel,371.0,3.9,2350.0,"Lat: 21.4064419, Lng: 39.830307",Makkah,2026-03-20,2026-03-25,Hotels in Kudai Makkah,Ramadan Season,High spiritual tourism season during Ramadan,21.4064419,39.830307,5,Mid-Range
فندق روابي السلام,371.0,3.7,1179.0,"Lat: 21.4062917, Lng: 39.8336158",Makkah,2026-03-20,2026-03-25,Hotels in Kudai Makkah,Ramadan Season,High spiritual tourism season during Ramadan,21.4062917,39.8336158,5,Mid-Range
MASARAT ROYAL HOTEL فندق مسارات رويال,371.0,3.9,320.0,"Lat: 21.3866716, Lng: 39.8265489",Makkah,2026-03-20,2026-03-25,Hotels in Kudai Makkah,Ramadan Season,High spiritual tourism season during Ramadan,21.3866716,39.8265489,5,Mid-Range
فندق الإباء,297.0,4.0,1919.0,"Lat: 21.4244292, Lng: 39.816535200000004",Makkah,2026-03-20,2026-03-25,Hotels in Jarwal Makkah,Ramadan Season,High spiritual tourism season during Ramadan,21.4244292,39.8165352,5,Budget
رمادا زاد التيسير,403.0,4.0,1040.0,"Lat: 21.4274988, Lng: 39.8146287",Makkah,2026-03-20,2026-03-25,Hotels in Jarwal Makkah,Ramadan Season,High spiritual tourism season during Ramadan,21.4274988,39.8146287,5,Mid-Range
فندق أسكنت الحفائر,575.0,3.6,199.0,"Lat: 21.424384699999997, Lng: 39.8160549",Makkah,2026-03-20,2026-03-25,Hotels in Jarwal Makkah,Ramadan Season,High spiritual tourism season during Ramadan,21.4243847,39.8160549,5,Mid-Range
OYO 473 Rasiyat Al Safa Hotel,371.0,5.0,2.0,"Lat: 21.435699, Lng: 39.819148999999996",Makkah,2026-03-20,2026-03-25,Hotels in Jarwal Makkah,Ramadan Season,High spiritual tourism season during Ramadan,21.435699,39.819149,5,Mid-Range
Zaayir jarwal,371.0,4.9,7.0,"Lat: 21.4344721, Lng: 39.8143489",Makkah,2026-03-20,2026-03-25,Hotels in Jarwal Makkah,Ramadan Season,High spiritual tourism season during Ramadan,21.4344721,39.8143489,5,Mid-Range
NOOR AL HIJAZ,371.0,5.0,4.0,"Lat: 21.427078599999998, Lng: 39.8176002",Makkah,2026-03-20,2026-03-25,Hotels in Jarwal Makkah,Ramadan Season,High spiritual tourism season during Ramadan,21.4270786,39.8176002,5,Mid-Range
فندق راسيات الصفا,371.0,3.8,102.0,"Lat: 21.434697999999997, Lng: 39.8186179",Makkah,2026-03-20,2026-03-25,Hotels in Jarwal Makkah,Ramadan Season,High spiritual tourism season during Ramadan,21.434698,39.8186179,5,Mid-Range
درة الأحباب,371.0,3.8,143.0,"Lat: 21.4350136, Lng: 39.820754",Makkah,2026-03-20,2026-03-25,Hotels in Jarwal Makkah,Ramadan Season,High spiritual tourism season during Ramadan,21.4350136,39.820754,5,Mid-Range
فندق تاج بارك,371.0,4.2,1356.0,"Lat: 21.4280818, Lng: 39.8151713",Makkah,2026-03-20,2026-03-25,Hotels in Jarwal Makkah,Ramadan Season,High spiritual tourism season during Ramadan,21.4280818,39.8151713,5,Mid-Range
فندق اركان البيت جرول,371.0,4.1,33.0,"Lat: 21.4354443, Lng: 39.8158695",Makkah,2026-03-20,2026-03-25,Hotels in Jarwal Makkah,Ramadan Season,High spiritual tourism season during Ramadan,21.4354443,39.8158695,5,Mid-Range
Hotel Alam Al Haya فندق عالم الحیاۃ الفندقية,371.0,3.6,23.0,"Lat: 21.428009199999998, Lng: 39.816027",Makkah,2026-03-20,2026-03-25,Hotels in Jarwal Makkah,Ramadan Season,High spiritual tourism season during Ramadan,21.4280092,39.816027,5,Mid-Range
فندق جوهرة قريش 1,371.0,4.0,51.0,"Lat: 21.426438599999997, Lng: 39.8144639",Makkah,2026-03-20,2026-03-25,Hotels in Jarwal Makkah,Ramadan Season,High spiritual tourism season during Ramadan,21.4264386,39.8144639,5,Mid-Range
Maysan el safa hotel,371.0,3.2,18.0,"Lat: 21.429445200000004, Lng: 39.8175483",Makkah,2026-03-20,2026-03-25,Hotels in Jarwal Makkah,Ramadan Season,High spiritual tourism season during Ramadan,21.429445200000004,39.8175483,5,Mid-Range
فندق أسكن,371.0,3.6,179.0,"Lat: 21.4295625, Lng: 39.8144375",Makkah,2026-03-20,2026-03-25,Hotels in Jarwal Makkah,Ramadan Season,High spiritual tourism season during Ramadan,21.4295625,39.8144375,5,Mid-Range
فندق ديار الضيافة,371.0,3.7,442.0,"Lat: 21.4338156, Lng: 39.8147102",Makkah,2026-03-20,2026-03-25,Hotels in Jarwal Makkah,Ramadan Season,High spiritual tourism season during Ramadan,21.4338156,39.8147102,5,Mid-Range
فندق وردة الوفاء,371.0,3.6,363.0,"Lat: 21.4274411, Lng: 39.816482199999996",Makkah,2026-03-20,2026-03-25,Hotels in Jarwal Makkah,Ramadan Season,High spiritual tourism season during Ramadan,21.4274411,39.8164822,5,Mid-Range
فندق ديار الرشد,371.0,4.1,339.0,"Lat: 21.4358751, Lng: 39.8196339",Makkah,2026-03-20,2026-03-25,Hotels in Jarwal Makkah,Ramadan Season,High spiritual tourism season during Ramadan,21.4358751,39.8196339,5,Mid-Range
Nawazi Watheer Hotel,371.0,3.8,4479.0,"Lat: 21.4289591, Lng: 39.8164879",Makkah,2026-03-20,2026-03-25,Hotels in Jarwal Makkah,Ramadan Season,High spiritual tourism season during Ramadan,21.4289591,39.8164879,5,Mid-Range
فندق زمزم بولمان المدينة,802.0,4.6,36696.0,"Lat: 24.464482999999998, Lng: 39.611374999999995",Madinah,2026-03-20,2026-03-25,Hotels in Madinah,Ramadan Season,High spiritual tourism season during Ramadan,24.464483,39.611375,5,Premium
فندق المناخة روتانا المدينة,744.0,4.7,4227.0,"Lat: 24.4641694, Lng: 39.6061902",Madinah,2026-03-20,2026-03-25,Hotels in Madinah,Ramadan Season,High spiritual tourism season during Ramadan,24.4641694,39.6061902,5,Mid-Range
Y platinum,347.0,3.9,1055.0,"Lat: 24.4629093, Lng: 39.657470100000005",Madinah,2026-03-20,2026-03-25,Hotels in Madinah,Ramadan Season,High spiritual tourism season during Ramadan,24.4629093,39.657470100000005,5,Mid-Range
دبل تري من هيلتون بوابة المدينة,764.0,4.4,302.0,"Lat: 24.471865299999997, Lng: 39.698144899999996",Madinah,2026-03-20,2026-03-25,Hotels in Madinah,Ramadan Season,High spiritual tourism season during Ramadan,24.4718653,39.6981449,5,Mid-Range
فندق ارتال طيبة,381.0,3.8,4051.0,"Lat: 24.4596911, Lng: 39.619664",Madinah,2026-03-20,2026-03-25,Hotels in Madinah,Ramadan Season,High spiritual tourism season during Ramadan,24.4596911,39.619664,5,Mid-Range
فندق المدينة مريديان,876.0,4.2,4421.0,"Lat: 24.4885093, Lng: 39.5637347",Madinah,2026-03-20,2026-03-25,Hotels in Madinah,Ramadan Season,High spiritual tourism season during Ramadan,24.4885093,39.5637347,5,Premium
فندق إيي,257.0,4.4,612.0,"Lat: 24.5032693, Lng: 39.7232637",Madinah,2026-03-20,2026-03-25,Hotels in Madinah,Ramadan Season,High spiritual tourism season during Ramadan,24.5032693,39.7232637,5,Budget
فندق المرزم-Al Marzam Hotel,281.0,4.1,276.0,"Lat: 24.4887646, Lng: 39.602374",Madinah,2026-03-20,2026-03-25,Hotels in Madinah,Ramadan Season,High spiritual tourism season during Ramadan,24.4887646,39.602374,5,Budget
فندق إيوان دار الهجرة,392.0,4.1,3670.0,"Lat: 24.4885613, Lng: 39.6107319",Madinah,2026-03-20,2026-03-25,Hotels in Madinah,Ramadan Season,High spiritual tourism season during Ramadan,24.4885613,39.6107319,5,Mid-Range
فندق روضة المختارة,377.0,3.5,611.0,"Lat: 24.4638125, Lng: 39.6063125",Madinah,2026-03-20,2026-03-25,Hotels in Madinah,Ramadan Season,High spiritual tourism season during Ramadan,24.4638125,39.6063125,5,Mid-Range
ZAHA TAIBA HOTEL,595.0,4.3,2181.0,"Lat: 24.4794714, Lng: 39.6145583",Madinah,2026-03-20,2026-03-25,Hotels in Madinah,Ramadan Season,High spiritual tourism season during Ramadan,24.4794714,39.6145583,5,Mid-Range
Hafawah Suites - King Studio,520.0,4.7,8.0,"Lat: 24.486530303955078, Lng: 39.64794921875",Madinah,2026-03-20,2026-03-25,Hotels in Madinah,Ramadan Season,High spiritual tourism season during Ramadan,24.48653030395508,39.64794921875,5,Mid-Range
فندق سوفيتيل شهد المدينة,1311.0,4.7,23086.0,"Lat: 24.4721174, Lng: 39.6116892",Madinah,2026-03-20,2026-03-25,Hotels in Madinah,Ramadan Season,High spiritual tourism season during Ramadan,24.4721174,39.6116892,5,Premium
أجنحة طيبة المدينة,371.0,3.9,4923.0,"Lat: 24.471771699999998, Lng: 39.610177799999995",Madinah,2026-03-20,2026-03-25,Hotels in Madinah,Ramadan Season,High spiritual tourism season during Ramadan,24.4717717,39.6101778,5,Mid-Range
Khair Jewaar Apartments Al Madinah - Four-Bedroom Deluxe Apartment,595.0,4.1,0.0,"Lat: 24.501480102539062, Lng: 39.58150863647461",Madinah,2026-03-20,2026-03-25,Hotels in Madinah,Ramadan Season,High spiritual tourism season during Ramadan,24.501480102539062,39.58150863647461,5,Mid-Range
فندق اجيال المدينة 2 Ajyal al madinah hotel,370.0,3.7,182.0,"Lat: 24.493052, Lng: 39.6116686",Madinah,2026-03-20,2026-03-25,Hotels in Madinah,Ramadan Season,High spiritual tourism season during Ramadan,24.493052,39.6116686,5,Mid-Range
فندق سدو بوتيك,396.0,4.4,288.0,"Lat: 24.495537799999997, Lng: 39.6206205",Madinah,2026-03-20,2026-03-25,Hotels in Madinah,Ramadan Season,High spiritual tourism season during Ramadan,24.4955378,39.6206205,5,Mid-Range
فندق اجيال المدينة 3 Ajyal al madinah hotel,292.0,3.6,153.0,"Lat: 24.4922276, Lng: 39.610862399999995",Madinah,2026-03-20,2026-03-25,Hotels in Madinah,Ramadan Season,High spiritual tourism season during Ramadan,24.4922276,39.6108624,5,Budget
فندق إعمار رويال,768.0,4.2,2909.0,"Lat: 24.473159799999998, Lng: 39.613012999999995",Madinah,2026-03-20,2026-03-25,Hotels in Madinah,Ramadan Season,High spiritual tourism season during Ramadan,24.4731598,39.613013,5,Mid-Range
فندق برج المختارة,668.0,3.1,443.0,"Lat: 24.465040199999997, Lng: 39.6019042",Madinah,2026-03-20,2026-03-25,Hotels in Madinah,Ramadan Season,High spiritual tourism season during Ramadan,24.4650402,39.6019042,5,Mid-Range
فندق كرم المدينة,487.0,3.9,912.0,"Lat: 24.464833499999997, Lng: 39.6055965",Makkah,2026-03-20,2026-03-25,Hotels near Al Masjid an Nabawi,Ramadan Season,High spiritual tourism season during Ramadan,24.4648335,39.6055965,5,Mid-Range
فندق دار التقوى,1207.0,4.4,10892.0,"Lat: 24.47122, Lng: 39.6119014",Makkah,2026-03-20,2026-03-25,Hotels near Al Masjid an Nabawi,Ramadan Season,High spiritual tourism season during Ramadan,24.47122,39.6119014,5,Premium
جراند بلازا المدينة,625.0,3.6,2243.0,"Lat: 24.471993599999998, Lng: 39.6128824",Makkah,2026-03-20,2026-03-25,Hotels near Al Masjid an Nabawi,Ramadan Season,High spiritual tourism season during Ramadan,24.4719936,39.6128824,5,Mid-Range
فندق مسك تاتش البلد روافد,921.0,4.6,1219.0,"Lat: 24.4652654, Lng: 39.60975",Makkah,2026-03-20,2026-03-25,Hotels near Al Masjid an Nabawi,Ramadan Season,High spiritual tourism season during Ramadan,24.4652654,39.60975,5,Premium
ميسان رحاب المسك,483.0,4.2,364.0,"Lat: 24.464450799999998, Lng: 39.607622",Makkah,2026-03-20,2026-03-25,Hotels near Al Masjid an Nabawi,Ramadan Season,High spiritual tourism season during Ramadan,24.4644508,39.607622,5,Mid-Range
فندق جولدن توليب شاكرين,749.0,3.6,4005.0,"Lat: 24.4651875, Lng: 39.608687499999995",Makkah,2026-03-20,2026-03-25,Hotels near Al Masjid an Nabawi,Ramadan Season,High spiritual tourism season during Ramadan,24.4651875,39.6086875,5,Mid-Range
فندق جايدن,747.0,4.6,1490.0,"Lat: 24.46387, Lng: 39.6138553",Makkah,2026-03-20,2026-03-25,Hotels near Al Masjid an Nabawi,Ramadan Season,High spiritual tourism season during Ramadan,24.46387,39.6138553,5,Mid-Range
